absolute,place,date,time,email,contacts,"datetime order",status
1538433000,1-1,01.10.2018,22:30,lirasitemaster@yandex.ru,"{user: , phone: , ip: 127.0.0.1, browser: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36 lang: ru}","01.10.2018 09:12 (+03:00 GMT)"
1538427600,1-1,01.10.2018,21:00,lirasitemaster@yandex.ru,"{user: , phone: , ip: 127.0.0.1, browser: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36 lang: ru}","01.10.2018 09:12 (+03:00 GMT)"
1538424000,1-1,01.10.2018,20:00,lirasitemaster@yandex.ru,"{user: , phone: , ip: 127.0.0.1, browser: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36 lang: ru}","01.10.2018 09:11 (+03:00 GMT)"
1538393400,1-1,01.10.2018,11:30,lirasitemaster@yandex.ru,"{user: , phone: , ip: 127.0.0.1, browser: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36 lang: ru}","01.10.2018 09:14 (+03:00 GMT)"
1538391600,1-1,01.10.2018,11:00,lirasitemaster@yandex.ru,"{user: , phone: , ip: 127.0.0.1, browser: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36 lang: ru}","01.10.2018 09:13 (+03:00 GMT)"
1538346600,1-4,30.09.2018,22:30,lirasitemaster@yandex.ru,"{user: Тестовый заказ, phone:  7 8793 33-93-94, ip: 127.0.0.1, browser: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36 lang: ru}","28.09.2018 16:19 (+03:00 GMT)"
1538346600,1-3,30.09.2018,22:30,lirasitemaster@yandex.ru,"{user: Тестовый заказ, phone:  7 8793 33-93-94, ip: 127.0.0.1, browser: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36 lang: ru}","28.09.2018 16:05 (+03:00 GMT)"
1538346600,1-2,30.09.2018,22:30,lirasitemaster@yandex.ru,"{user: Тестовый заказ, phone:  7 8793 33-93-94, ip: 127.0.0.1, browser: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36 lang: ru}","28.09.2018 15:55 (+03:00 GMT)"
1538346600,1-10,30.09.2018,22:30,lirasitemaster@yandex.ru,"{user: Тестовый заказ, phone:  7 8793 33-93-94, ip: 127.0.0.1, browser: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36 lang: ru}","28.09.2018 16:35 (+03:00 GMT)"
1538346600,1-1,30.09.2018,22:30,lirasitemaster@yandex.ru,"{user: Тестовый заказ, phone:  7 8793 33-93-94, ip: 127.0.0.1, browser: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36 lang: ru}","28.09.2018 14:58 (+03:00 GMT)"
